# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	21342
#@/user_id	4a724b77-b474-4a53-8ab8-27f5bbc0adee
eyb 	脑	c=1 d=1 t=5154
eybb 	脑子	c=1 d=1 t=6437
eyst 	及格	c=1 d=1 t=11984
f 	地	c=2 d=1 t=8588
falt 	截图	c=8 d=1 t=18977
fb 	地	c=3 d=1.0031 t=18106
fbaq 	地区	c=1 d=1 t=10438
fbfa 	地域	c=1 d=1 t=13674
fblt 	地图	c=1 d=1 t=8965
fbqr 	地铁	c=1 d=1 t=20401
fbyg 	地主	c=1 d=1 t=17456
fbyy 	地方	c=9 d=1.94041 t=18983
fc 	支	c=4 d=1.08333 t=16262
fcbw 	支队	c=2 d=1.76338 t=316
fcfc 	运动	c=3 d=1 t=18112
fcij 	动漫	c=1 d=1 t=20705
fcl 	动	c=6 d=1 t=20307
fcln 	劫	c=3 d=1.00001 t=19364
fcp 	运	c=1 d=1 t=21038
fcrf 	支持	c=3 d=1.03763 t=19811
fcrh 	去年	c=2 d=1 t=19936
fcrn 	运气	c=3 d=1.00146 t=16032
fcrt 	动手	c=5 d=1 t=19558
fctf 	运行	c=1 d=1 t=18860
fcu 	云	c=28 d=3.31947 t=20759
fcu 	去	c=159 d=1.94056 t=21133
fcu 	支	c=1 d=1 t=6007
fcwf 	支付	c=2 d=1 t=19148
fd 	城	c=8 d=1.05458 t=21038
fdf 	震	c=2 d=1.99005 t=16153
fdqf 	城镇	c=5 d=4.72423 t=593
fdsv 	需要	c=12 d=1.26592 t=19966
fdym 	城市	c=5 d=1.31429 t=10716
ffff 	土	c=1 d=1 t=20204
fffy 	封	c=5 d=1.0153 t=15647
ffhw 	填	c=9 d=1.0018 t=15352
ffi 	款	c=8 d=1.90484 t=20041
ffpu 	填补	c=1 d=1 t=1833
ffsu 	封校	c=1 d=1 t=13231
ffuk 	墙	c=1 d=1 t=20535
ffwy 	封住	c=1 d=0.10153 t=15648
fg 	二	c=19 d=1.06105 t=21315
fggh 	干	c=24 d=1.00006 t=20150
fgh 	十	c=3 d=1 t=20749
fghy 	寸	c=2 d=1.00124 t=4877
